City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,83,0,18.41,clear sky
145,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,1.14,broken clouds
146,Esperanza,DO,19.5847,-70.9849,81.3,79,8,5.99,clear sky
147,Mindelo,CV,16.8901,-24.9804,76.55,73,40,9.22,scattered clouds
148,Bathsheba,BB,13.2167,-59.5167,83.01,88,20,20.71,few clouds
149,Chernyshevskiy,RU,63.0128,112.4714,61.9,76,67,3.31,broken clouds
150,Mehamn,NO,71.0357,27.8492,58.91,100,100,1.14,overcast clouds
151,Shirokiy,RU,49.758,129.523,68.74,85,22,3.65,few clouds
152,Padang,ID,-0.9492,100.3543,75.25,87,92,4.18,overcast clouds
153,Kahului,US,20.8947,-156.47,81.97,82,36,11.01,scattered clouds
154,Caravelas,BR,-17.7125,-39.2481,70.88,83,4,5.97,clear sky
155,Ashland,US,40.8167,-82.2665,83.26,57,0,9.84,clear sky
156,Salalah,OM,17.0151,54.0924,76.57,92,82,8.57,broken clouds
157,Rocha,UY,-34.4833,-54.3333,48.94,94,100,4.76,overcast clouds
158,Yichang,CN,30.7144,111.2847,79.41,89,84,2.73,broken clouds
159,Mumford,GH,5.2618,-0.759,73.6,82,25,8.39,scattered clouds
160,San Pedro,PH,14.35,121.0167,83.26,83,40,2.3,scattered clouds
161,Lompoc,US,34.6391,-120.4579,88.02,73,75,17.0,broken clouds
162,Mahebourg,MU,-20.4081,57.7,69.26,88,40,12.66,scattered clouds
163,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,85.96,22,49,10.83,scattered clouds
164,Popondetta,PG,-8.7537,148.2534,84.33,62,38,1.16,scattered clouds
165,Esperance,AU,-33.8667,121.9,52.57,81,55,17.76,broken clouds
166,Nanortalik,GL,60.1432,-45.2371,49.91,76,3,7.67,clear sky
167,Lagos,NG,6.5833,3.75,75.76,82,98,5.23,overcast clouds
168,Cabo San Lucas,MX,22.8909,-109.9124,98.19,59,79,14.9,broken clouds
169,Dunedin,NZ,-45.8742,170.5036,44.46,83,94,2.28,overcast clouds
170,Korla,CN,41.7597,86.1469,74.19,34,0,2.33,clear sky
171,Ishinomaki,JP,38.4167,141.3,73.4,98,100,12.75,light rain
172,Marolambo,MG,-20.05,48.1167,55.4,95,21,2.86,few clouds
173,Talnakh,RU,69.4865,88.3972,54.21,75,16,5.08,few clouds
174,Port-Cartier,CA,50.0334,-66.8654,68.22,92,100,7.25,heavy intensity rain
175,Atar,MR,20.5169,-13.0499,92.8,34,5,5.44,clear sky
176,Asau,RO,46.4333,26.4,63.52,48,0,4.63,clear sky
177,Kodinsk,RU,58.6881,99.1844,58.42,87,49,2.75,scattered clouds
178,Loubomo,CG,-4.1997,12.6739,66.72,88,38,6.13,scattered clouds
179,Rio Branco,BR,-9.9747,-67.81,83.01,54,0,3.44,clear sky
180,Dwarka,IN,22.2394,68.9678,82.54,81,100,18.95,overcast clouds
181,Richards Bay,ZA,-28.783,32.0377,66.18,84,79,6.04,broken clouds
182,Ardakan,IR,32.31,54.0175,86.95,16,0,3.69,clear sky
183,Lancaster,US,40.2504,-76.2499,88.18,59,27,13.56,scattered clouds
184,Pacific Grove,US,36.6177,-121.9166,84.24,80,40,12.66,scattered clouds
185,Rudsar,IR,37.1376,50.288,76.37,83,54,7.09,broken clouds
186,Norman Wells,CA,65.282,-126.8329,73.44,53,75,3.44,broken clouds
187,Udachnyy,RU,66.4167,112.4,50.45,100,100,1.74,overcast clouds
188,Coruripe,BR,-10.1256,-36.1756,72.88,84,70,7.34,broken clouds
189,Gravdal,NO,68.1214,13.5031,53.42,90,100,15.97,overcast clouds
190,Meulaboh,ID,4.1363,96.1285,77.2,83,99,5.23,overcast clouds
191,Ola,RU,59.5833,151.2833,71.15,63,89,2.44,overcast clouds
192,Lerwick,GB,60.1545,-1.1494,48.2,86,51,9.17,broken clouds
193,Niquero,CU,20.0431,-77.5828,85.86,66,23,5.41,few clouds
194,Puerto Ayora,EC,-0.7393,-90.3518,78.76,94,53,5.01,broken clouds
195,Abdulino,RU,53.7,53.6667,58.71,79,78,4.97,broken clouds
196,Obo,CF,5.3998,26.4869,66.67,98,99,2.42,overcast clouds
197,Beira,MZ,-19.8436,34.8389,69.89,94,20,5.99,few clouds
198,Batemans Bay,AU,-35.7167,150.1833,53.1,82,87,2.93,overcast clouds
199,Yulara,AU,-25.2406,130.9889,51.21,39,0,5.01,clear sky
200,Denpasar,ID,-8.65,115.2167,78.46,83,75,8.05,broken clouds
201,Cidreira,BR,-30.1811,-50.2056,62.64,90,93,4.0,overcast clouds
202,Buinsk,RU,54.95,48.2833,62.65,78,98,10.78,overcast clouds
203,Grindavik,IS,63.8424,-22.4338,53.55,100,100,4.61,light intensity drizzle
204,Torbay,CA,47.6666,-52.7314,68.77,74,75,9.22,broken clouds
205,Tera,NE,14.0078,0.7531,89.51,45,100,8.75,overcast clouds
206,Tuatapere,NZ,-46.1333,167.6833,44.46,91,99,2.86,overcast clouds
207,Qaanaaq,GL,77.484,-69.3632,43.75,91,100,10.49,light rain
208,Geraldton,AU,-28.7667,114.6,54.01,87,100,10.36,overcast clouds
209,Sragen,ID,-7.4264,111.0222,72.07,87,92,6.51,overcast clouds
210,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,88,75,6.91,broken clouds
211,Lensk,RU,60.7253,114.9278,62.74,90,96,1.28,overcast clouds
212,Esna,EG,25.2934,32.554,89.62,16,1,11.97,clear sky
213,Hofn,IS,64.2539,-15.2082,50.74,87,32,2.42,scattered clouds
214,Yumen,CN,40.2833,97.2,67.37,27,0,7.31,clear sky
215,Katsuura,JP,35.1333,140.3,82.42,85,41,15.84,scattered clouds
216,Anadyr,RU,64.75,177.4833,54.1,54,40,15.66,scattered clouds
217,Narsaq,GL,60.9167,-46.05,50.77,78,11,5.3,few clouds
218,Bengkulu,ID,-3.8004,102.2655,74.66,90,82,4.88,broken clouds
219,Salto,UY,-31.3833,-57.9667,64.87,83,92,8.01,light rain
220,Namibe,AO,-15.1961,12.1522,62.78,87,18,3.44,few clouds
221,Naples,IT,40.8333,14.25,81.21,74,0,2.3,clear sky
222,Palanga,LT,55.9175,21.0686,69.82,73,20,2.3,few clouds
223,Puerto Escondido,MX,15.85,-97.0667,84.52,76,99,3.27,overcast clouds
224,Belgaum,IN,15.8667,74.5,67.95,95,97,6.51,overcast clouds
225,Rawson,AR,-43.3002,-65.1023,44.91,52,100,12.97,overcast clouds
226,Oktyabrskoye,RU,43.0645,44.7417,64.54,93,100,2.24,light intensity drizzle
227,Rio Gallegos,AR,-51.6226,-69.2181,32.05,74,0,19.57,clear sky
228,Marihatag,PH,8.7936,126.2969,79.56,85,87,2.8,light rain
229,Muros,ES,42.7762,-9.0603,68.09,83,77,15.7,broken clouds
230,Port Hardy,CA,50.6996,-127.4199,59.18,77,40,13.8,scattered clouds
231,Svetlyy,RU,54.675,20.1347,70.97,60,14,7.25,few clouds
232,Saint-Ambroise,CA,48.5501,-71.3324,76.82,83,61,3.44,broken clouds
233,Zhigalovo,RU,54.8097,105.1578,59.45,78,100,2.48,overcast clouds
234,Chapais,CA,49.7834,-74.8492,64.18,91,100,12.82,overcast clouds
235,Agotnes,NO,60.4061,5.0189,54.16,82,40,10.36,scattered clouds
236,Cap Malheureux,MU,-19.9842,57.6142,69.48,73,79,5.99,broken clouds
237,Vostok,RU,46.4856,135.8833,61.39,98,99,1.28,overcast clouds
238,Krasnoselkup,RU,65.7,82.4667,50.63,81,71,3.29,broken clouds
239,Lakatoro,VU,-16.0999,167.4164,81.39,79,26,13.53,scattered clouds
240,Menongue,AO,-14.6585,17.691,51.37,43,5,3.18,clear sky
241,Alta Floresta,BR,-9.8756,-56.0861,76.75,36,0,0.69,clear sky
242,Nome,US,64.5011,-165.4064,48.16,81,100,11.92,light rain
243,Shihezi,CN,44.3,86.0333,73.06,26,0,3.87,clear sky
244,Traverse City,US,44.7631,-85.6206,85.98,38,0,8.66,clear sky
245,Aswan,EG,24.0934,32.907,88.9,18,0,13.8,clear sky
246,Marrakesh,MA,31.6315,-8.0083,91.47,29,40,6.91,scattered clouds
247,Abnub,EG,27.2696,31.1511,82.62,32,0,15.93,clear sky
248,Vilhena,BR,-12.7406,-60.1458,82.62,42,0,6.91,clear sky
249,Lamu,KE,-2.2717,40.902,74.08,82,32,18.68,light rain
250,Sorong,ID,-0.8833,131.25,78.48,88,16,10.92,few clouds
251,Erzin,TR,36.9559,36.2,74.55,69,0,2.62,clear sky
252,Goderich,CA,43.7501,-81.7165,80.92,54,0,9.22,clear sky
253,Sabang,ID,5.8933,95.3214,82.71,74,100,15.77,overcast clouds
254,High Level,CA,58.5169,-117.136,53.71,100,100,6.91,heavy intensity rain
255,Bocaiuva,BR,-17.1078,-43.815,69.51,47,5,5.82,clear sky
256,Warrington,GB,53.3925,-2.5802,63.32,84,75,5.75,broken clouds
257,Grand Forks,US,47.9417,-97.4337,85.93,39,40,12.66,scattered clouds
258,Palana,RU,59.1167,159.9667,57.76,63,5,8.68,clear sky
259,Haines Junction,CA,60.7522,-137.5108,64.35,42,100,10.36,overcast clouds
260,Sao Mateus,BR,-18.7161,-39.8589,68.09,83,11,4.23,few clouds
261,Deputatskiy,RU,69.3,139.9,49.12,64,15,11.07,few clouds
262,Recco,IT,44.3623,9.1435,82.15,78,0,4.94,clear sky
263,Vieux-Habitants,GP,16.0589,-61.7659,81.97,79,5,13.47,clear sky
264,Kaeo,NZ,-35.1,173.7833,59.32,75,70,6.71,broken clouds
265,Alofi,NU,-19.0595,-169.9187,78.69,69,40,8.05,scattered clouds
266,Natal,BR,-5.795,-35.2094,75.42,94,75,4.61,broken clouds
267,Qarqin,AF,37.4185,66.0436,90.95,13,0,5.64,clear sky
268,Preobrazheniye,RU,42.9019,133.9064,64.27,96,100,8.68,overcast clouds
269,Beisfjord,NO,68.3751,17.5988,55.04,92,97,1.7,overcast clouds
270,Grand Gaube,MU,-20.0064,57.6608,69.39,73,80,5.99,broken clouds
271,Tarakan,ID,3.3,117.6333,76.5,88,40,4.61,scattered clouds
272,Isangel,VU,-19.55,169.2667,79.68,72,3,17.31,clear sky
273,Road Town,VG,18.4167,-64.6167,82.44,83,20,12.66,few clouds
274,Hun,LY,29.1268,15.9477,77.43,51,0,7.29,clear sky
275,Anori,BR,-3.7728,-61.6442,79.27,76,76,0.65,broken clouds
276,Cayenne,GF,4.9333,-52.3333,83.08,1,20,3.44,few clouds
277,Zholymbet,KZ,51.7433,71.7122,58.19,73,0,8.14,clear sky
278,Pestovo,RU,58.5938,35.8024,57.54,83,46,4.45,scattered clouds
279,Vardo,NO,70.3705,31.1107,53.58,100,100,2.3,overcast clouds
280,Matay,EG,28.419,30.7792,78.96,45,0,12.68,clear sky
281,Ilulissat,GL,69.2167,-51.1,41.77,91,100,6.13,overcast clouds
282,Pemangkat,ID,1.1667,108.9667,78.08,87,97,8.57,light rain
283,Coromandel,BR,-18.4733,-47.2003,64.74,48,12,3.6,few clouds
284,El Carmen,CO,8.5106,-73.4478,71.89,91,96,3.29,overcast clouds
285,Mahajanga,MG,-15.7167,46.3167,68.02,60,0,8.05,clear sky
286,Baykit,RU,61.67,96.37,59.61,79,21,2.42,few clouds
287,Chokurdakh,RU,70.6333,147.9167,53.56,35,0,8.86,clear sky
288,Rundu,NA,-17.9333,19.7667,61.77,38,87,6.42,overcast clouds
289,Bairiki,KI,1.3292,172.9752,82.4,83,75,4.61,broken clouds
290,Vestmannaeyjar,IS,63.4427,-20.2734,51.78,98,100,4.61,overcast clouds
291,Santa Maria,BR,-29.6842,-53.8069,69.1,94,0,1.14,clear sky
292,Katangli,RU,51.7102,143.2326,53.62,97,100,12.01,overcast clouds
293,Pervomayskiy,RU,53.2485,40.2871,56.64,91,96,11.59,light rain
294,Port Lincoln,AU,-34.7333,135.8667,55.4,63,100,19.55,overcast clouds
295,Varzea Da Palma,BR,-17.5981,-44.7308,69.48,44,1,3.33,clear sky
296,Itarare,BR,-24.1125,-49.3317,63.25,73,63,4.21,broken clouds
297,Kotelnikovo,RU,47.6317,43.1461,64.62,58,14,6.4,few clouds
298,Muravlenko,RU,63.7898,74.523,49.68,65,84,5.19,broken clouds
299,Fairview,US,40.8126,-73.999,95.49,42,53,8.99,broken clouds
300,Fukue,JP,32.6881,128.8419,78.04,72,40,11.21,scattered clouds
301,Rio Cuarto,AR,-33.1307,-64.3499,56.97,44,0,11.5,clear sky
302,Hami,CN,42.8,93.45,73.08,26,0,2.39,clear sky
303,Viedma,AR,-40.8135,-62.9967,44.11,50,98,10.33,overcast clouds
304,Rio Cauto,CU,20.5603,-76.9161,82.9,72,29,6.17,scattered clouds
305,Nadaun,IN,31.7833,76.35,77.49,90,100,3.62,overcast clouds
306,Srednekolymsk,RU,67.45,153.6833,53.82,40,0,8.03,clear sky
307,Lima,PE,-12.0432,-77.0282,59.25,72,100,6.91,overcast clouds
308,Weligama,LK,5.9667,80.4167,76.95,90,100,15.01,moderate rain
309,Krosno Odrzanskie,PL,52.0549,15.0988,69.66,86,54,4.72,broken clouds
310,Ostrovnoy,RU,68.0531,39.5131,54.54,86,96,5.41,overcast clouds
311,Ketchikan,US,55.3422,-131.6461,62.56,69,85,3.33,overcast clouds
312,Khash,IR,28.2211,61.2158,79.79,55,36,4.09,scattered clouds
313,Hope,US,33.6671,-93.5916,89.65,88,94,19.17,overcast clouds
314,Taltal,CL,-25.4,-70.4833,59.0,85,9,3.09,clear sky
315,Kananga,CD,-5.8958,22.4178,73.98,47,38,3.74,scattered clouds
316,Yeniseysk,RU,58.4497,92.1703,56.77,93,97,6.62,overcast clouds
317,Gornopravdinsk,RU,60.05,69.9,47.43,89,8,4.18,clear sky
318,Tooele,US,40.5308,-112.2983,98.56,24,0,8.05,clear sky
319,Lavrentiya,RU,65.5833,-171.0,40.53,81,100,20.42,light rain
320,Tadine,NC,-21.55,167.8833,76.86,81,46,15.01,scattered clouds
321,Bilma,NE,18.6853,12.9164,93.02,26,96,7.31,overcast clouds
322,Henties Bay,NA,-22.116,14.2845,58.68,70,0,3.29,clear sky
323,Lubumbashi,CD,-11.6609,27.4794,58.5,64,21,4.63,few clouds
324,Lazaro Cardenas,MX,17.9583,-102.2,87.01,68,41,7.45,scattered clouds
325,Biloela,AU,-24.4167,150.5,61.59,88,37,9.91,moderate rain
326,Sur,OM,22.5667,59.5289,86.41,71,86,10.69,overcast clouds
327,Ibirataia,BR,-14.0669,-39.6406,64.51,99,46,1.39,scattered clouds
328,Mecca,SA,21.4267,39.8261,86.09,54,59,2.44,broken clouds
329,Igarka,RU,67.4667,86.5833,54.61,78,87,7.02,overcast clouds
330,Lexington Park,US,38.2668,-76.4538,87.12,79,75,13.8,broken clouds
331,Sechura,PE,-5.5569,-80.8222,70.81,59,36,13.89,scattered clouds
332,Livingston,GB,55.9029,-3.5226,58.86,80,0,6.91,clear sky
333,Kodiak,US,57.79,-152.4072,53.11,87,100,5.75,light rain
334,Chuy,UY,-33.6971,-53.4616,51.85,89,92,6.29,overcast clouds
335,Montepuez,MZ,-13.1256,38.9997,62.92,87,24,7.36,few clouds
336,Santa Cruz,BO,-17.8,-63.1667,80.65,54,75,16.11,broken clouds
337,Juba,SS,4.8517,31.5825,69.03,83,36,2.39,light rain
338,Waingapu,ID,-9.6567,120.2641,75.31,77,85,11.9,overcast clouds
339,The Valley,AI,18.217,-63.0578,84.34,70,20,16.11,few clouds
340,Iqaluit,CA,63.7506,-68.5145,42.53,93,40,4.61,fog
341,Yazman,PK,29.1212,71.7446,83.55,70,100,2.35,light rain
342,Thenzawl,IN,23.3167,92.75,68.59,99,100,2.15,overcast clouds
343,Mabaruma,GY,8.2,-59.7833,75.85,93,53,4.65,broken clouds
344,Dong Hoi,VN,17.4833,106.6,77.36,82,87,2.28,overcast clouds
345,Waw,SS,7.7029,27.9953,70.39,95,100,3.06,overcast clouds
346,Merauke,ID,-8.4667,140.3333,78.12,79,34,8.63,scattered clouds
